Timestamp,LIT101,MV101,P101
 28/12/2015 10:00:00 AM,522.8467,2,2
 28/12/2015 10:00:01 AM,522.886,2,2
 28/12/2015 10:00:02 AM,522.8467,2,2
 28/12/2015 10:00:03 AM,522.9645,2,2
 28/12/2015 10:00:04 AM,523.4748,2,2
 28/12/2015 10:00:05 AM,523.8673,2,2
 28/12/2015 10:00:06 AM,524.1028,2,2
 28/12/2015 10:00:07 AM,524.2206,2,2
 28/12/2015 10:00:08 AM,524.4954,2,2
 28/12/2015 10:00:09 AM,524.0636,2,2
 28/12/2015 10:00:10 AM,524.1028,2,2
 28/12/2015 10:00:11 AM,523.7496,2,2
 28/12/2015 10:00:12 AM,523.4355,2,2
 28/12/2015 10:00:13 AM,523.043,2,2
 28/12/2015 10:00:14 AM,522.729,2,2
 28/12/2015 10:00:15 AM,522.6505,2,2
 28/12/2015 10:00:16 AM,522.6897,2,2
 28/12/2015 10:00:17 AM,522.6897,2,2
 28/12/2015 10:00:18 AM,522.6505,2,2
 28/12/2015 10:00:19 AM,522.6897,2,2
 28/12/2015 10:00:20 AM,522.729,2,2
 28/12/2015 10:00:21 AM,522.5327,2,2
 28/12/2015 10:00:22 AM,522.886,2,2
 28/12/2015 10:00:23 AM,523.4355,2,2
 28/12/2015 10:00:24 AM,523.6709999999999,2,2
 28/12/2015 10:00:25 AM,523.7496,2,2
 28/12/2015 10:00:26 AM,523.8281,2,2
 28/12/2015 10:00:27 AM,524.2598,2,2
 28/12/2015 10:00:28 AM,524.1421,2,2
 28/12/2015 10:00:29 AM,524.2598,2,2
 28/12/2015 10:00:30 AM,524.6523,2,2
 28/12/2015 10:00:31 AM,524.3383,2,2
 28/12/2015 10:00:32 AM,524.5346,2,2
 28/12/2015 10:00:33 AM,524.2991,2,2
 28/12/2015 10:00:34 AM,524.2991,2,2
 28/12/2015 10:00:35 AM,524.2206,2,2
 28/12/2015 10:00:36 AM,524.4561,2,2
 28/12/2015 10:00:37 AM,524.4561,2,2
 28/12/2015 10:00:38 AM,524.8486,2,2
 28/12/2015 10:00:39 AM,525.3982,2,2
 28/12/2015 10:00:40 AM,525.3196,2,2
 28/12/2015 10:00:41 AM,525.5159,2,2
 28/12/2015 10:00:42 AM,525.6729,2,2
 28/12/2015 10:00:43 AM,525.9084,2,2
 28/12/2015 10:00:44 AM,525.7907,2,2
 28/12/2015 10:00:45 AM,525.9084,2,2
 28/12/2015 10:00:46 AM,525.7122,2,2
 28/12/2015 10:00:47 AM,525.5944,2,2
 28/12/2015 10:00:48 AM,525.3196,2,2
 28/12/2015 10:00:49 AM,525.3982,2,2
 28/12/2015 10:00:50 AM,525.5944,2,2
 28/12/2015 10:00:51 AM,525.5944,2,2
 28/12/2015 10:00:52 AM,525.3982,2,2
 28/12/2015 10:00:53 AM,525.7122,2,2
 28/12/2015 10:00:54 AM,525.6729,2,2
 28/12/2015 10:00:55 AM,525.5944,2,2
 28/12/2015 10:00:56 AM,525.5944,2,2
 28/12/2015 10:00:57 AM,525.5159,2,2
 28/12/2015 10:00:58 AM,525.5159,2,2
 28/12/2015 10:00:59 AM,525.5944,2,2
 28/12/2015 10:01:00 AM,525.5159,2,2
 28/12/2015 10:01:01 AM,525.1234,2,2
 28/12/2015 10:01:02 AM,525.2019,2,2
 28/12/2015 10:01:03 AM,525.2411,2,2
 28/12/2015 10:01:04 AM,524.8094,2,2
 28/12/2015 10:01:05 AM,524.4561,2,2
 28/12/2015 10:01:06 AM,524.0243,2,2
 28/12/2015 10:01:07 AM,523.9458,2,2
 28/12/2015 10:01:08 AM,523.8281,2,2
 28/12/2015 10:01:09 AM,523.8281,2,2
 28/12/2015 10:01:10 AM,524.1421,2,2
 28/12/2015 10:01:11 AM,524.3383,2,2
 28/12/2015 10:01:12 AM,524.6131,2,2
 28/12/2015 10:01:13 AM,524.6916,2,2
 28/12/2015 10:01:14 AM,524.4561,2,2
 28/12/2015 10:01:15 AM,524.7309,2,2
 28/12/2015 10:01:16 AM,524.6916,2,2
 28/12/2015 10:01:17 AM,525.0842,2,2
 28/12/2015 10:01:18 AM,525.2411,2,2
 28/12/2015 10:01:19 AM,525.5159,2,2
 28/12/2015 10:01:20 AM,525.3196,2,2
 28/12/2015 10:01:21 AM,526.0262,2,2
 28/12/2015 10:01:22 AM,526.4973,2,2
 28/12/2015 10:01:23 AM,526.8898,2,2
 28/12/2015 10:01:24 AM,527.2038,2,2
 28/12/2015 10:01:25 AM,527.3608,2,2
 28/12/2015 10:01:26 AM,527.4786,2,2
 28/12/2015 10:01:27 AM,527.7534,2,2
 28/12/2015 10:01:28 AM,528.2244,2,2
 28/12/2015 10:01:29 AM,527.8711,2,2
 28/12/2015 10:01:30 AM,528.0281,2,2
 28/12/2015 10:01:31 AM,527.7534,2,2
 28/12/2015 10:01:32 AM,527.4393,2,2
 28/12/2015 10:01:33 AM,527.2823,2,2
 28/12/2015 10:01:34 AM,527.2823,2,2
 28/12/2015 10:01:35 AM,527.3608,2,2
 28/12/2015 10:01:36 AM,526.8113,2,2
 28/12/2015 10:01:37 AM,526.5757,2,2
 28/12/2015 10:01:38 AM,525.8692,2,2
 28/12/2015 10:01:39 AM,525.3982,2,2
 28/12/2015 10:01:40 AM,525.0842,2,2
 28/12/2015 10:01:41 AM,524.8879,2,2
 28/12/2015 10:01:42 AM,524.4561,2,2
 28/12/2015 10:01:43 AM,524.1028,2,2
 28/12/2015 10:01:44 AM,524.0636,2,2
 28/12/2015 10:01:45 AM,523.8673,2,2
 28/12/2015 10:01:46 AM,523.4748,2,2
 28/12/2015 10:01:47 AM,523.3177,2,2
 28/12/2015 10:01:48 AM,523.4355,2,2
 28/12/2015 10:01:49 AM,523.0823,2,2
 28/12/2015 10:01:50 AM,523.1608,2,2
